images,0,2,3,6,7,9,Very_Low_Height,Very_Thick,Very_Left_Leaning,Very_Right_Leaning,Very_High_Height,Very_Thin,Upright
0.png,0,0,0,0,0,0,0,0,0,0,0,1,0
1.png,1,0,0,0,0,0,0,0,0,0,0,1,0
2.png,0,0,0,0,0,0,0,0,0,0,0,1,0
3.png,0,0,0,0,0,0,0,0,0,1,0,1,0
4.png,0,0,0,0,0,1,0,0,0,0,0,0,1
5.png,0,1,0,0,0,0,0,0,0,0,0,0,0
6.png,0,0,0,0,0,0,0,0,0,0,0,0,0
7.png,0,0,1,0,0,0,0,0,0,0,0,1,0
8.png,0,0,0,0,0,0,0,0,0,0,1,0,1
9.png,0,0,0,0,0,0,0,0,0,1,0,1,0
10.png,0,0,1,0,0,0,0,0,0,0,0,0,1
11.png,0,0,0,0,0,0,0,0,0,1,0,0,0
12.png,0,0,1,0,0,0,0,0,0,0,0,0,0
13.png,0,0,0,1,0,0,0,0,0,0,0,1,0
14.png,0,0,0,0,0,0,0,0,0,0,1,0,1
15.png,0,0,0,0,1,0,0,0,0,0,1,0,0
16.png,0,1,0,0,0,0,0,0,0,0,0,1,0
17.png,0,0,0,0,0,0,0,1,0,1,1,0,0
18.png,0,0,0,1,0,0,0,0,0,0,0,1,1
19.png,0,0,0,0,0,1,0,0,0,0,1,0,0
20.png,0,0,0,0,0,0,0,0,0,0,0,0,0
21.png,1,0,0,0,0,0,0,0,0,0,0,0,0
22.png,0,0,0,0,0,1,0,0,0,0,1,0,0
23.png,0,0,0,0,0,0,0,0,0,1,1,0,0
24.png,0,0,0,0,0,0,0,0,0,0,1,0,0
25.png,0,1,0,0,0,0,0,0,0,0,0,0,0
26.png,0,0,0,0,0,0,0,0,0,0,0,0,1
27.png,0,0,1,0,0,0,0,0,0,0,0,0,0
29.png,0,0,0,0,1,0,1,0,0,1,0,0,0
30.png,0,0,1,0,0,0,0,0,1,0,0,0,0
31.png,0,0,0,0,0,0,0,0,0,1,0,0,0
32.png,0,0,0,1,0,0,0,0,0,0,0,1,1
33.png,0,0,0,0,0,1,0,0,0,1,1,0,0
34.png,1,0,0,0,0,0,0,0,0,0,0,0,0
35.png,0,0,0,0,0,0,0,0,0,1,0,1,0
36.png,0,0,0,1,0,0,0,0,0,0,0,0,0
37.png,1,0,0,0,0,0,0,0,0,0,1,0,0
38.png,0,0,0,0,1,0,0,0,0,0,0,0,0
39.png,0,0,0,1,0,0,0,0,0,0,0,1,1
40.png,0,0,0,0,0,0,0,0,0,0,1,0,0
42.png,0,0,0,0,1,0,0,0,0,0,0,0,1
43.png,0,0,0,0,0,1,0,0,0,0,0,0,0
44.png,0,0,1,0,0,0,0,0,0,0,0,1,0
45.png,0,0,0,0,0,1,0,0,0,0,0,0,0
46.png,0,0,0,0,0,0,0,0,0,0,1,0,1
47.png,0,0,0,0,0,0,0,0,0,1,0,0,0
48.png,0,0,0,0,0,1,0,0,0,0,0,0,0
49.png,0,0,1,0,0,0,0,0,0,0,0,0,0
50.png,0,0,1,0,0,0,0,0,0,0,1,0,1
51.png,1,0,0,0,0,0,0,1,0,0,1,0,0
52.png,0,0,0,0,1,0,0,0,0,0,1,0,1
53.png,0,0,0,0,0,0,0,0,0,0,0,0,0
54.png,0,0,0,0,0,1,0,0,0,0,0,1,0
55.png,0,0,0,0,0,0,0,0,0,0,0,0,0
56.png,1,0,0,0,0,0,0,0,0,0,0,0,1
57.png,0,0,0,0,0,1,0,0,0,0,1,0,0
58.png,0,0,0,0,0,0,0,1,0,0,1,0,0
59.png,0,0,0,0,0,0,0,0,0,1,0,0,0
60.png,0,0,0,0,0,0,0,0,0,0,0,0,0
61.png,0,0,0,0,0,0,0,0,0,1,0,0,0
62.png,0,0,0,1,0,0,0,0,0,0,0,1,1
63.png,1,0,0,0,0,0,0,1,0,0,1,0,0
64.png,0,0,0,0,0,0,0,0,0,0,1,0,0
65.png,0,0,0,0,0,0,1,0,0,1,0,1,0
66.png,0,0,0,1,0,0,0,0,0,0,0,1,0
67.png,0,0,0,0,0,0,0,0,0,0,0,0,0
68.png,1,0,0,0,0,0,0,0,0,0,0,1,1
69.png,1,0,0,0,0,0,0,1,0,0,1,0,1
70.png,0,0,0,0,0,0,0,0,0,0,0,0,0
71.png,0,0,0,0,1,0,0,0,0,1,0,0,0
72.png,0,0,0,0,0,0,0,0,0,0,0,1,1
73.png,0,0,0,1,0,0,0,0,0,0,0,0,0
74.png,0,0,1,0,0,0,0,0,0,0,0,1,0
75.png,1,0,0,0,0,0,0,0,0,0,0,0,0
76.png,0,1,0,0,0,0,0,0,0,0,0,0,0
77.png,0,0,0,0,0,0,0,0,0,1,1,0,0
78.png,0,0,0,0,0,0,0,0,0,1,0,1,0
